evidence_channel,total_edges,nonzero_edges,nonzero_ratio,mean_nonzero_score,median_nonzero_score,max_score
textmining,403720,371160,0.9193500445853562,478.9196465136329,470.0,999.0
coexpression,403720,313892,0.7774992569107302,260.826163138914,117.0,999.0
experimental,403720,264336,0.6547508173981967,450.79201470855276,424.0,999.0
database,403720,204132,0.5056276627365501,711.7338780788901,720.0,900.0
neighborhood,403720,32310,0.08003071435648469,88.05112968121324,84.0,366.0
cooccurence,403720,17512,0.043376597641930054,121.95740063956144,85.0,537.0
fusion,403720,4994,0.012369959377786585,231.73167801361635,74.0,900.0
